,age,daily_social_media_hours,sleep_hours,screen_time_before_sleep,academic_performance,physical_activity,stress_level,anxiety_level,addiction_level,mental_health_risk_score
age,1.0,-0.006634980040185013,0.0015296148202152348,0.07561183148025381,-0.013972571746746768,0.011086166251066277,-0.031208171467306603,0.026362912775310453,0.03826541713738862,0.01847755594067564
daily_social_media_hours,-0.006634980040185013,1.0,-0.009472174451731145,0.03577747498449844,0.013178979116841542,0.025545975989219667,0.03069774192522823,0.027834756255640577,-0.024964065714155877,0.01946211719518208
sleep_hours,0.0015296148202152348,-0.009472174451731145,1.0,0.010235281435374078,0.02186648399574215,0.012700669323918308,-0.010979224324713875,-0.01187869290990313,-0.05483786069041045,-0.04387899680502482
screen_time_before_sleep,0.07561183148025381,0.03577747498449844,0.010235281435374078,1.0,-0.03471506114469844,-0.02645002179171916,-0.00864958635321159,-0.010343542552957028,0.02888391957011535,0.005373125863910791
academic_performance,-0.013972571746746768,0.013178979116841542,0.02186648399574215,-0.03471506114469844,1.0,0.023311832773401764,-0.0006002252848866934,-0.0643787938844939,0.029354265179856762,-0.020392446796494247
physical_activity,0.011086166251066277,0.025545975989219667,0.012700669323918308,-0.02645002179171916,0.023311832773401764,1.0,0.012159467191722215,-0.022233352427228396,0.026200355580748,0.00910867830111031
stress_level,-0.031208171467306603,0.03069774192522823,-0.010979224324713875,-0.00864958635321159,-0.0006002252848866934,0.012159467191722215,1.0,0.015811253456222245,-0.00012939512935803834,0.5851647806371404
anxiety_level,0.026362912775310453,0.027834756255640577,-0.01187869290990313,-0.010343542552957028,-0.0643787938844939,-0.022233352427228396,0.015811253456222245,1.0,0.031153783634204728,0.5941774963297906
addiction_level,0.03826541713738862,-0.024964065714155877,-0.05483786069041045,0.02888391957011535,0.029354265179856762,0.026200355580748,-0.00012939512935803834,0.031153783634204728,1.0,0.5794483285981998
mental_health_risk_score,0.01847755594067564,0.01946211719518208,-0.04387899680502482,0.005373125863910791,-0.020392446796494247,0.00910867830111031,0.5851647806371404,0.5941774963297906,0.5794483285981998,1.0
